lemma,freq,freq_class,rank,prop,cum_sum_prop
næringsdrivende,9,7,92,4.24868998725393e-4,0.7391304347826086
norsk-pakistansk,9,7,92,4.24868998725393e-4,0.739555303781334
opprinnelig,9,7,92,4.24868998725393e-4,0.7399801727800595
opptelle,9,7,92,4.24868998725393e-4,0.7404050417787849
presis,9,7,92,4.24868998725393e-4,0.7408299107775103
primær,9,7,92,4.24868998725393e-4,0.7412547797762357
problematisk,9,7,92,4.24868998725393e-4,0.7416796487749611
profesjonell,9,7,92,4.24868998725393e-4,0.7421045177736865
romantisk,9,7,92,4.24868998725393e-4,0.7425293867724119
sjokkere,9,7,92,4.24868998725393e-4,0.7429542557711373
sløv,9,7,92,4.24868998725393e-4,0.7433791247698626
strategisk,9,7,92,4.24868998725393e-4,0.743803993768588
tape,9,7,92,4.24868998725393e-4,0.7442288627673134
tiltalt,9,7,92,4.24868998725393e-4,0.7446537317660388
uenig,9,7,92,4.24868998725393e-4,0.7450786007647642
ulovlig,9,7,92,4.24868998725393e-4,0.7455034697634896
verdifull,9,7,92,4.24868998725393e-4,0.745928338762215
15.,8,7,93,3.776613322003493e-4,0.7463060000944153
23.,8,7,93,3.776613322003493e-4,0.7466836614266157
alpin,8,7,93,3.776613322003493e-4,0.747061322758816
anonym,8,7,93,3.776613322003493e-4,0.7474389840910164
definitiv,8,7,93,3.776613322003493e-4,0.7478166454232167
dyster,8,7,93,3.776613322003493e-4,0.7481943067554171
egnet,8,7,93,3.776613322003493e-4,0.7485719680876174
faglig,8,7,93,3.776613322003493e-4,0.7489496294198178
fersk,8,7,93,3.776613322003493e-4,0.7493272907520181
forferdelig,8,7,93,3.776613322003493e-4,0.7497049520842185
fullstendig,8,7,93,3.776613322003493e-4,0.7500826134164188
fundamental,8,7,93,3.776613322003493e-4,0.7504602747486192
gul,8,7,93,3.776613322003493e-4,0.7508379360808195
hellig,8,7,93,3.776613322003493e-4,0.7512155974130199
humanitær,8,7,93,3.776613322003493e-4,0.7515932587452202
inkludere,8,7,93,3.776613322003493e-4,0.7519709200774206
integrere,8,7,93,3.776613322003493e-4,0.7523485814096209
intellektuell,8,7,93,3.776613322003493e-4,0.7527262427418212
intern,8,7,93,3.776613322003493e-4,0.7531039040740216
katolsk,8,7,93,3.776613322003493e-4,0.7534815654062219
konkurs,8,7,93,3.776613322003493e-4,0.7538592267384223
konstant,8,7,93,3.776613322003493e-4,0.7542368880706226
